,index,Payment Number,Payment Date,Invoice Number,Invoice Date,Payment Total,Department,Account Description,Fund Description,Cost Center Description,Days to Pay,Compliant Indicator,Payment Status,Invoice Year,Invoice Month,Invoice Day,Month Part,Invoices Paid,Sum of Paid Invoices,Invoices Unpaid,Sum of Unpaid Invoices,Invoices Overdue,Not Intime Payments Ratio,Average Days to Pay
94,3593.0,2076935.0,2013-02-14,4008471839,2013-01-05,37.0,4,6,56,80,40.0,0,2,2013.0,1.0,5.0,1,0.0,0.0,1.0,175.0,0.0,0.0,0.0
95,3357.0,2077678.0,2013-02-26,4008442570,2013-01-05,399.02,1,6,56,28,52.0,0,2,2013.0,1.0,5.0,1,0.0,0.0,1.0,46.0,0.0,0.0,0.0
96,600.0,2076742.0,2013-02-12,4008440856,2013-01-05,18.0,8,6,62,146,38.0,0,2,2013.0,1.0,5.0,1,0.0,0.0,1.0,143.0,0.0,0.0,0.0
97,6511.0,2077376.0,2013-02-20,4008434354,2013-01-05,135.0,7,6,59,131,46.0,0,2,2013.0,1.0,5.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
98,3886.0,2076981.0,2013-02-15,4008452528,2013-01-05,175.0,10,6,56,108,41.0,0,2,2013.0,1.0,5.0,1,0.0,0.0,1.0,20.0,0.0,0.0,0.0
99,3904.0,2076742.0,2013-02-12,4008451427,2013-01-05,61.0,6,6,64,72,38.0,0,2,2013.0,1.0,5.0,1,0.0,0.0,1.0,45.0,0.0,0.0,0.0
100,7435.0,2076806.0,2013-02-13,4008423279,2013-01-05,146.0,12,6,56,140,39.0,0,2,2013.0,1.0,5.0,1,0.0,0.0,1.0,53.0,0.0,0.0,0.0
101,5209.0,2076981.0,2013-02-15,4008391347,2013-01-05,165.0,2,6,56,2,41.0,0,2,2013.0,1.0,5.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102,4155.0,2076742.0,2013-02-12,4008435065,2013-01-05,92.0,10,6,60,4,38.0,0,2,2013.0,1.0,5.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103,1085.0,2077458.0,2013-02-21,4008465117,2013-01-05,20.0,6,6,56,22,47.0,0,2,2013.0,1.0,5.0,1,0.0,0.0,1.0,155.0,0.0,0.0,0.0
104,2422.0,2078152.0,2013-03-06,4008480016,2013-01-05,10.0,3,6,56,25,60.0,0,2,2013.0,1.0,5.0,1,0.0,0.0,2.0,118.09,0.0,0.0,0.0
105,12835.0,2076742.0,2013-02-12,4008478032,2013-01-05,45.0,6,6,64,72,38.0,0,2,2013.0,1.0,5.0,1,0.0,0.0,1.0,61.0,0.0,0.0,0.0
106,6122.0,2078529.0,2013-03-13,4008461148,2013-01-05,42.0,8,6,62,83,67.0,0,2,2013.0,1.0,5.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
