,Supplier Name,Supplier Number,Payment Number,Payment Date,Invoice Number,Invoice Date,Payment Total,Po Number,Receipt Number,Department,Account Description,Fund Description,Cost Center Description,Minority Owned,Small Business,Women Owned,City,State,Zip,Country,Vendor Id,Days to Pay,Compliant Indicator
275078,Canon Solutions America,866161,2155749,03/01/2017 12:00:00 AM,16527332,09/30/2016 12:00:00 AM,155.43,526878.0,160632.0,Police,Office Machine Rental,General Fund,Police Training Recruiting,No,No,No,"Chicago,","IL,",60693,US,190422,152,No
275087,Canon Solutions America,866161,2206614,05/08/2020 12:00:00 AM,21379348,04/30/2020 12:00:00 AM,127.25,552282.0,283120.0,General Gov't & Agencies,Office Machine Rental,General Fund,Information Technology,No,No,No,"Chicago,","IL,",60693-0149,US,190422,8,Yes
275099,Canon Solutions America,866161,2169344,12/08/2017 12:00:00 AM,17900666,10/31/2017 12:00:00 AM,237.93,526878.0,184449.0,Finance & Admin,Office Machine Rental,General Fund,City Court Clerk's Office,No,No,No,"Chicago,","IL,",60693-0149,US,190422,38,No
275144,Canon Solutions America,866161,2077517,02/22/2013 12:00:00 AM,4008668361,02/01/2013 12:00:00 AM,175.0,519302.0,60057.0,Parks Management,Equipment Rental,General Fund,Parks Admin,No,No,No,"Chicago,","IL,",60693,US,190422,21,Yes
275148,Canon Solutions America,866161,2215014,02/11/2021 12:00:00 AM,22290384,12/31/2020 12:00:00 AM,132.11,552282.0,311373.0,Public Works,Office Machine Rental,Interceptor Sewer Operations,ISS Admin,No,No,No,"Chicago,","IL,",60693-0149,US,190422,42,No
275165,Canon Solutions America,866161,2197930,09/25/2019 12:00:00 AM,20468012,08/31/2019 12:00:00 AM,41.55,552282.0,259391.0,Public Works,Office Machine Rental,General Fund,Public Works Admin,No,No,No,"Chicago,","IL,",60693-0149,US,190422,25,Yes
275203,Canon Solutions America,866161,2181256,08/27/2018 12:00:00 AM,19105053,08/14/2018 12:00:00 AM,247.59,526878.0,216282.0,Public Works,Office Machine Rental,General Fund,City Engineer,No,No,No,"Chicago,","IL,",60693-0149,US,190422,13,Yes
275215,Canon Solutions America,866161,2182228,09/19/2018 12:00:00 AM,19105054,08/14/2018 12:00:00 AM,144.22,526878.0,219631.0,Youth & Family Development,Office Machine Rental,General Fund,Rec Ctr - Westside Community Ctr,No,No,No,"Chicago,","IL,",60693-0149,US,190422,36,No
275257,Canon Solutions America,866161,2089581,09/11/2013 12:00:00 AM,4010627207,09/01/2013 12:00:00 AM,118.09,521447.0,71529.0,Police,Equipment Rental,General Fund,Police Patrol Bravo,No,No,No,"Chicago,","IL,",60693,US,190422,10,Yes
275384,Canon Solutions America,866161,2104784,06/17/2014 12:00:00 AM,4013053608,06/01/2014 12:00:00 AM,21.0,519302.0,88850.0,Youth & Family Development,Equipment Rental,General Fund,Rec Ctr - South Chattanooga,No,No,No,"Chicago,","IL,",60693,US,190422,16,Yes
275444,Canon Solutions America,866161,2182228,09/19/2018 12:00:00 AM,19213220,09/12/2018 12:00:00 AM,41.55,526878.0,219331.0,Police,Office Machine Rental,General Fund,Police Admin Support & Tech Svcs,No,No,No,"Chicago,","IL,",60693-0149,US,190422,7,Yes
275457,Canon Solutions America,866161,2155403,02/21/2017 12:00:00 AM,4020855476,12/01/2016 12:00:00 AM,159.94,526878.0,160410.0,Police,Office Machine Rental,General Fund,Family Justice Center,No,No,No,"Chicago,","IL,",60693,US,190422,82,No
275462,Canon Solutions America,866161,2078724,03/15/2013 12:00:00 AM,4008973778,03/01/2013 12:00:00 AM,143.0,519302.0,61301.0,Human Resources,Equipment Rental,On-site Medical Clinics & Wellness,WellAdvantage Center,No,No,No,"Chicago,","IL,",60693,US,190422,14,Yes
275467,Canon Solutions America,866161,2186376,12/31/2018 12:00:00 AM,19576329,12/31/2018 12:00:00 AM,157.13,552282.0,230244.0,Finance & Admin,Office Machine Rental,General Fund,Finance Office,No,No,No,"Chicago,","IL,",60693-0149,US,190422,0,Yes
275607,Canon Solutions America,866161,2152967,12/22/2016 12:00:00 AM,16706576,11/12/2016 12:00:00 AM,82.75,526878.0,155774.0,Youth & Family Development,Office Machine Rental,General Fund,Rec Ctr - Cromwell Community Center,No,No,No,"Chicago,","IL,",60693,US,190422,40,No
275671,Canon Solutions America,866161,2104580,06/13/2014 12:00:00 AM,4013036518,06/01/2014 12:00:00 AM,187.3,519302.0,88877.0,General Services,Equipment Rental,General Fund,General Services Admin,No,No,No,"Chicago,","IL,",60693,US,190422,12,Yes
275699,Canon Solutions America,866161,2158420,04/25/2017 12:00:00 AM,17228938,04/12/2017 12:00:00 AM,82.75,526878.0,165864.0,Youth & Family Development,Office Machine Rental,General Fund,Rec Ctr - Shepherd,No,No,No,"Chicago,","IL,",60693,US,190422,13,Yes
275701,Canon Solutions America,866161,2172340,02/19/2018 12:00:00 AM,18232727,01/31/2018 12:00:00 AM,107.78,546151.0,194342.0,Police,Office Machine Rental,General Fund,Records Management & Services,No,No,No,"Chicago,","IL,",60693-0149,US,190422,19,Yes
275730,Canon Solutions America,866161,2152967,12/22/2016 12:00:00 AM,16810481,12/13/2016 12:00:00 AM,82.75,526878.0,155774.0,Youth & Family Development,Office Machine Rental,General Fund,Rec Ctr - South Chattanooga,No,No,No,"Chicago,","IL,",60693,US,190422,9,Yes
275734,Canon Solutions America,866161,2187055,01/16/2019 12:00:00 AM,19465525,11/30/2018 12:00:00 AM,41.55,526878.0,231888.0,Youth & Family Development,Office Machine Rental,2019 EHS CC Partnership 9/2017-8/2018,EHS-CC Partnerships â€“ Operating,No,No,No,"Chicago,","IL,",60693-0149,US,190422,47,No
275735,Canon Solutions America,866161,2202353,01/22/2020 12:00:00 AM,20694049,10/31/2019 12:00:00 AM,137.25,552282.0,271801.0,Public Works,Office Machine Rental,Interceptor Sewer Operations,ISS Engineering,No,No,No,"Chicago,","IL,",60693-0149,US,190422,83,No
275915,Canon Solutions America,866161,2091225,10/08/2013 12:00:00 AM,4010355654,09/01/2013 12:00:00 AM,21.0,519302.0,69579.0,Youth & Family Development,Equipment Rental,General Fund,Rec Ctr - South Chattanooga,No,No,No,"Chicago,","IL,",60693,US,190422,37,No
275925,Canon Solutions America,866161,2136504,02/17/2016 12:00:00 AM,15691468,01/13/2016 12:00:00 AM,144.25,526878.0,132398.0,Youth & Family Development,Office Machine Rental,General Fund,Recreation Admin,No,No,No,"Chicago,","IL,",60693,US,190422,35,No
275966,Canon Solutions America,866161,2178981,07/02/2018 12:00:00 AM,18638429,06/30/2018 12:00:00 AM,82.75,526878.0,209975.0,Youth & Family Development,Office Machine Rental,General Fund,Rec Ctr - Frances B. Wyatt,No,No,No,"Chicago,","IL,",60693-0149,US,190422,2,Yes
275973,Canon Solutions America,866161,2205291,04/02/2020 12:00:00 AM,21265211,03/31/2020 12:00:00 AM,153.53,552282.0,280180.0,Public Works,Office Machine Rental,Interceptor Sewer Operations,ISS Inflow & Infiltration,No,No,No,"Chicago,","IL,",60693-0149,US,190422,2,Yes
276054,Canon Solutions America,866161,2083640,06/03/2013 12:00:00 AM,4009211572,04/01/2013 12:00:00 AM,45.0,521003.0,65381.0,General Gov't & Agencies,Equipment Rental,General Fund,City Attorney Operations,No,No,No,"Chicago,","IL,",60693,US,190422,63,No
276064,Canon Solutions America,866161,2182228,09/19/2018 12:00:00 AM,19105092,08/14/2018 12:00:00 AM,82.75,526878.0,219525.0,Youth & Family Development,Office Machine Rental,General Fund,Rec Ctr - John A. Patten,No,No,No,"Chicago,","IL,",60693-0149,US,190422,36,No
276068,Canon Solutions America,866161,2084918,06/21/2013 12:00:00 AM,4009778455,06/01/2013 12:00:00 AM,67.0,519417.0,66528.0,Human Services,Equipment Rental,2013 Head Start,Early Head Start,No,No,No,"Chicago,","IL,",60693,US,190422,20,Yes
276109,Canon Solutions America,866161,2212175,11/05/2020 12:00:00 AM,21948034,09/30/2020 12:00:00 AM,74.12,552282.0,302234.0,Youth & Family Development,Office Machine Rental,2021 Head Start,Early Head Start,No,No,No,"Chicago,","IL,",60693-0149,US,190422,36,No
276116,Canon Solutions America,866161,2181143,08/23/2018 12:00:00 AM,18638420,05/13/2018 12:00:00 AM,82.75,526878.0,215941.0,Youth & Family Development,Office Machine Rental,General Fund,Rec Ctr - South Chattanooga,No,No,No,"Chicago,","IL,",60693-0149,US,190422,102,No
276160,Canon Solutions America,866161,2159964,05/23/2017 12:00:00 AM,4021902826,04/01/2017 12:00:00 AM,266.37,526878.0,164991.0,Police,Office Machine Rental,General Fund,Chief of Police,No,No,No,"Chicago,","IL,",60693,US,190422,52,No
276168,Canon Solutions America,866161,2122688,05/29/2015 12:00:00 AM,14917245,05/13/2015 12:00:00 AM,125.19,526878.0,112026.0,General Gov't & Agencies,Office Machine Rental,General Fund,City Attorney Operations,No,No,No,"Chicago,","IL,",60693,US,190422,16,Yes
276195,Canon Solutions America,866161,2182969,10/05/2018 12:00:00 AM,18749089,06/12/2018 12:00:00 AM,82.75,526878.0,221112.0,Youth & Family Development,Office Machine Rental,General Fund,Rec Ctr - South Chattanooga,No,No,No,"Chicago,","IL,",60693-0149,US,190422,115,No
276205,Canon Solutions America,866161,2111131,10/21/2014 12:00:00 AM,4014050431,10/01/2014 12:00:00 AM,45.0,527619.0,97002.0,General Gov't & Agencies,Equipment Rental,Public Library,Library - Downtown Branch-Central Office,No,No,No,"Chicago,","IL,",60693,US,190422,20,Yes
